city,city_bis,city_nospace,city_nospace_bis,city_formatted
les allues,les allues,lesallues,lesallues,Les-Allues
villarlurin,villarlurin,villarlurin,villarlurin,Villarlurin
saint bon tarentaise,st bon tarentaise,saintbontarentaise,stbontarentaise,Saint-Bon-Tarentaise
saint avre,st avre,saintavre,stavre,Saint-Avre
le pont de beauvoisin,le pont de beauvoisin,lepontdebeauvoisin,lepontdebeauvoisin,Le-Pont-De-Beauvoisin
la thuile,la thuile,lathuile,lathuile,La-Thuile
saint pierre de soucy,st pierre de soucy,saintpierredesoucy,stpierredesoucy,Saint-Pierre-De-Soucy
les avanchers valmorel,les avanchers valmorel,lesavanchersvalmorel,lesavanchersvalmorel,Les-Avanchers-Valmorel
gresy sur isere,gresy sur isere,gresysurisere,gresysurisere,Gresy-Sur-Isere
les deserts,les deserts,lesdeserts,lesdeserts,Les-Deserts
la chapelle du mont du chat,la chapelle du mont du chat,lachapelledumontduchat,lachapelledumontduchat,La-Chapelle-Du-Mont-Du-Chat
betton bettonet,betton bettonet,bettonbettonet,bettonbettonet,Betton-Bettonet
lepin le lac,lepin le lac,lepinlelac,lepinlelac,Lepin-Le-Lac
montgellafrey,montgellafrey,montgellafrey,montgellafrey,Montgellafrey
macot la plagne,macot la plagne,macotlaplagne,macotlaplagne,Macot-La-Plagne
montricher albanne,montricher albanne,montricheralbanne,montricheralbanne,Montricher-Albanne
hautecour,hautecour,hautecour,hautecour,Hautecour
puygros,puygros,puygros,puygros,Puygros
bonvillard,bonvillard,bonvillard,bonvillard,Bonvillard
trevignin,trevignin,trevignin,trevignin,Trevignin
frontenex,frontenex,frontenex,frontenex,Frontenex
loisieux,loisieux,loisieux,loisieux,Loisieux
voglans,voglans,voglans,voglans,Voglans
nances,nances,nances,nances,Nances
le chatel,le chatel,lechatel,lechatel,Le-Chatel
montagny,montagny,montagny,montagny,Montagny
bourgneuf,bourgneuf,bourgneuf,bourgneuf,Bourgneuf
epierre,epierre,epierre,epierre,Epierre
randens,randens,randens,randens,Randens
saint jean de couz,st jean de couz,saintjeandecouz,stjeandecouz,Saint-Jean-De-Couz
pralognan la vanoise,pralognan la vanoise,pralognanlavanoise,pralognanlavanoise,Pralognan-La-Vanoise
la chambre,la chambre,lachambre,lachambre,La-Chambre
saint martin de belleville,st martin de belleville,saintmartindebelleville,stmartindebelleville,Saint-Martin-De-Belleville
curienne,curienne,curienne,curienne,Curienne
termignon,termignon,termignon,termignon,Termignon
saint colomban des villards,st colomban des villards,saintcolombandesvillards,stcolombandesvillards,Saint-Colomban-Des-Villards
saint pierre de belleville,st pierre de belleville,saintpierredebelleville,stpierredebelleville,Saint-Pierre-De-Belleville
saint pierre de genebroz,st pierre de genebroz,saintpierredegenebroz,stpierredegenebroz,Saint-Pierre-De-Genebroz
avrieux,avrieux,avrieux,avrieux,Avrieux
sainte helene du lac,ste helene du lac,saintehelenedulac,stehelenedulac,Sainte-Helene-Du-Lac
doucy en bauges,doucy en bauges,doucyenbauges,doucyenbauges,Doucy-En-Bauges
la bridoire,la bridoire,labridoire,labridoire,La-Bridoire
tournon,tournon,tournon,tournon,Tournon
vimines,vimines,vimines,vimines,Vimines
la motte en bauges,la motte en bauges,lamotteenbauges,lamotteenbauges,La-Motte-En-Bauges
